numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
2054,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2055,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2056,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2057,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2058,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2059,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
2060,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2061,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2062,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2063,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2064,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2065,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2066,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
2067,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
2068,Wygodne 2 pokoje do własnej aranżacji!,199 000 zł,Sosnowiec - Dzisiaj O 19:26,Brak danych,"32,71 m² - 6083.77 zł/m²",2 pokoje,Brak danych
2069,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2070,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2071,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2072,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2073,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2074,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2075,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2076,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2077,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2078,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2079,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2080,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2081,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2082,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2083,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
2084,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2085,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2086,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2087,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2088,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2089,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2090,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2091,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2092,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2093,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2094,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2095,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2096,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2097,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2098,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2099,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2100,Słoneczne jasne mieszkanie na Przytorzu,300 000 złdo negocjacji,Brak danych,Brak danych,"52,74 m² - 5688.28 zł/m²",Brak danych,Brak danych
2101,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2102,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2103,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2104,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2105,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2106,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2107,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2108,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2109,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2110,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2111,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2112,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2113,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2114,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2115,Nowe mieszkanie w stanie deweloperskim ul. Robotnicza - od ręki!,337 000 zł,Brak danych,Brak danych,"39,08 m² - 8623.34 zł/m²",Brak danych,Brak danych
2116,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2117,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2118,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2119,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2120,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2121,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2122,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2123,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2124,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2125,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2126,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2127,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
2128,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2129,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2130,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2131,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2132,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2133,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
2134,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
2135,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2136,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2137,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2138,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2139,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2140,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2141,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
2142,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
2143,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2144,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2145,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2146,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2147,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2148,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2149,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2150,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
2151,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2152,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2153,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2154,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2155,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2156,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2157,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2158,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2159,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2160,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2161,Mieszkanie Opole ZWM 51M2 2 Pokoje Balkon Winda dla niepełnosprawnych,499 000 złdo negocjacji,Opole - Odświeżono Dnia 16 Lipca 2025,Brak danych,50 m² - 9980 zł/m²,2 pokoje,Brak danych
2162,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2163,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2164,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2165,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2166,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2167,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
2168,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
2169,Słoneczne jasne mieszkanie na Przytorzu,300 000 złdo negocjacji,Brak danych,Brak danych,"52,74 m² - 5688.28 zł/m²",Brak danych,Brak danych
2170,Wygodne 2 pokoje do własnej aranżacji!,199 000 zł,Sosnowiec - Dzisiaj O 19:26,Brak danych,"32,71 m² - 6083.77 zł/m²",2 pokoje,Brak danych
2171,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2172,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2173,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2174,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2175,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2176,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2177,Nowe mieszkanie w stanie deweloperskim ul. Robotnicza - od ręki!,337 000 zł,Brak danych,Brak danych,"39,08 m² - 8623.34 zł/m²",Brak danych,Brak danych
2178,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2179,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2180,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2181,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2182,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2183,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2184,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2185,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2186,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2187,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2188,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2189,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2190,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2191,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2192,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2193,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2194,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2195,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2196,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
2197,Sprzedam mieszkanie z balkonem !,320 000 zł,Brak danych,Brak danych,"51,26 m² - 6242.68 zł/m²",Brak danych,Brak danych
2198,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2199,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2200,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2201,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2202,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2203,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2204,Słoneczne jasne mieszkanie na Przytorzu,300 000 złdo negocjacji,Brak danych,Brak danych,"52,74 m² - 5688.28 zł/m²",Brak danych,Brak danych
2205,Wygodne 2 pokoje do własnej aranżacji!,199 000 zł,Sosnowiec - Dzisiaj O 19:26,Brak danych,"32,71 m² - 6083.77 zł/m²",2 pokoje,Brak danych
2206,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2207,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
