id,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
161,✅NAJWIĘKSZE M2 w NOWEJ Inwestycji❗️RABATY❗️Dostępne inne piętra❗️0%PCC,468 867 zł,Poznań,Miasto,43 m²,2 pokoje,2 piętro
162,❗️OKAZJA❗️Najwyższe piętro | Największe mieszkanie| NAJWIĘKSZY RABAT❗️,705 658 zł,Poznań,Miasto,70.61 m²,4 pokoje,8 piętro
163,✅Nowoczesne 3-pok. mieszkanie z balkonem i garderobą✅ZOBACZ TEN UKŁAD,580 093 zł,Poznań,Miasto,56.56 m²,3 pokoje,3 piętro
164,✅WRÓCIŁ ŚWIETNY UKŁAD❗️Dwustr. M4❗️2 Balkony❗️Łaź+WC❗️OKAZJA❗️Tanie MP,581 145 zł,Poznań,Miasto,57.08 m²,4 pokoje,4 piętro
165,✅SUPER CENA✅Optymalne M2 w Świetnej Lokalizacji❗️Rabat na M.Postojowe,460 393 zł,Poznań,Miasto,39.5 m²,2 pokoje,5 piętro
166,DODATKOWY RABAT❗️Dwustronne M4 - 63m2 z OGRÓDKIEM✅Smart Home✅PROMOCJA,632 069 zł,Poznań,Miasto,63.01 m²,4 pokoje,Brak danych
167,Nowość - gotowe apartamenty z widokiem na morze,579 000 zł,Brak danych,Brak danych,59.73 m²,3 pokoje,1 piętro
168,"4 pokoje z balkonem, Aleksandrów Ł. 80m2",600 000 zł,Brak danych,Brak danych,80 m²,4 pokoje,3 piętro
169,"2p. w Apartamentowcu! 31,19 m2! Gotowe do odbioru!",379 000 zł,Białystok,Bojary,31.19 m²,2 pokoje,1 piętro
170,3 pokojowe mieszkanie na zielonym osiedlu,625 800 zł,Lublin,Południowy,59.3 m²,3 pokoje,7 piętro
171,Mieszkanie dwupokojowe w samym Centrum Malborka !!!,289 000 zł,Brak danych,Brak danych,51 m²,2 pokoje,1 piętro
