title,price,location,area,rooms
"Mieszkanie 56 m2, 3 pokoje, w pełni wyposażone, 3 piętro, Ursus",790 000 złdo negocjacji,"Warszawa, Ursus - Odświeżono Dzisiaj o 00:34",3456 m²,3 pokoje
Mieszkanie 3 pokojowe-63m2,550 złdo negocjacji,Dobczyce - Odświeżono Dzisiaj o 16:23,2363 m²,3 pokoje
Kawalerka I centrum I umeblowane I Łódź,339 000 złdo negocjacji,"Łódź, Śródmieście - Odświeżono Dzisiaj o 10:22","2226,63 m²",Brak danych
Mieszkanie 2 pokojowe przy wejściu do Metra Płocka - do remontu,490 000 zł,"Warszawa, Wola - Odświeżono dnia 14 lipca 2025","202530,28 m²",2 pokoje
Jagiellońska 9 - przytulne M3 na Tysiącleciu!,265 000 złdo negocjacji,Radomsko - Odświeżono dnia 14 lipca 2025,"202548,15 m²",Brak danych
Przestronne 3 pokojowe mieszkanie z garażem osiedle Bielany,440 000 złdo negocjacji,Legnica - Dzisiaj o 19:59,"5967,60 m²",3 pokoje
"Mieszkanie 58m2, LSM, 3 pokoje, prywatnie",590 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj o 16:28,2858 m²,3 pokoje
Okazja !! Klimatyczne mieszkanie z ogródkiem w centrum !,348 000 złdo negocjacji,Sulechów - Odświeżono dnia 14 lipca 2025,202558 m²,Brak danych
"Mini segment, 3 pokoje - 41,58m2",474 000 zł,"Warszawa, Białołęka - Dzisiaj o 11:48","4841,58 m²",3 pokoje
os. Kopernika ! TRZECIE PIĘTRO,164 000 zł,Grudziądz - Dzisiaj o 09:40,4032 m²,Brak danych
